user_id,run_id,weather,map_name,start_x,start_y,start_z,end_x,end_y,end_z,arousal_start,arousal_end,hr_bpm_start,hr_bpm_end,model_pred_start,model_prob_start,model_pred_end,model_prob_end,emotion_label_start,emotion_prob_start,emotion_label_end,emotion_prob_end,timestamp_start,timestamp_end,frame_start,frame_end,sim_time_start,sim_time_end,details
participant_03,2,day,Town10HD,-82.69873046875,-65.41680908203125,0.0018318557413294911,-105.74776458740234,-33.447731018066406,0.0017613220261409879,0.597,0.581,54,60,None,0.994,pick_floor,0.994,angry,0.509,sad,0.98,2026-02-16T11:01:23.470369,2026-02-16T11:01:29.280807,418437,418523,8046.313782114536,8049.323782127351,window_1
participant_03,2,day,Town10HD,-111.55615234375,-6.6164116859436035,0.0017193603562191129,-111.55615234375,-6.616283416748047,0.0017189406789839268,1.0,0.948,65,60,None,0.952,None,0.913,neutral,0.761,fear,0.939,2026-02-16T11:01:44.083081,2026-02-16T11:01:46.623163,418740,418777,8056.918782159686,8058.2137821651995,window_2
participant_03,2,day,Town10HD,-111.5108871459961,-5.772378921508789,0.0012112808180972934,-99.0079345703125,21.663774490356445,0.0015071487287059426,0.374,0.429,55,51,None,0.992,pick_floor,0.984,neutral,0.827,neutral,0.732,2026-02-16T11:02:02.510666,2026-02-16T11:02:08.805301,419004,419089,8066.158782199025,8069.133782211691,window_1
participant_03,2,day,Town10HD,-80.3314208984375,26.925174713134766,0.0017893218901008368,-68.93514251708984,27.855043411254883,0.0014661025488749146,0.461,0.482,51,57,None,0.933,pick_floor,0.953,neutral,0.404,fear,0.901,2026-02-16T11:02:13.841164,2026-02-16T11:02:17.689355,419153,419204,8071.373782221228,8073.1587822288275,window_2
participant_03,2,day,Town10HD,39.24249267578125,38.08123016357422,0.001834602328017354,40.64820861816406,56.289573669433594,0.0014271545223891735,0.319,0.296,60,55,None,0.942,pick_floor,0.998,neutral,0.803,sad,0.998,2026-02-16T11:02:40.370287,2026-02-16T11:02:44.579050,419513,419572,8083.973782274872,8086.038782283664,window_1
participant_03,2,day,Town10HD,55.254398345947266,69.73702239990234,0.0016787337372079492,80.49299621582031,69.92112731933594,0.0017470169113948941,0.296,0.296,55,67,None,0.965,pick_floor,0.99,neutral,0.755,fear,0.933,2026-02-16T11:02:49.748521,2026-02-16T11:02:54.974312,419649,419724,8088.733782295138,8091.3587823063135,window_2
participant_03,2,day,Town10HD,51.70065689086914,131.24940490722656,0.0018086242489516735,28.971481323242188,131.22198486328125,0.0018161392072215676,1.0,1.0,60,56,None,0.965,pick_floor,0.999,neutral,0.944,sad,0.548,2026-02-16T11:03:17.040248,2026-02-16T11:03:20.738010,420056,420109,8102.978782355785,8104.833782363683,window_1
participant_03,2,day,Town10HD,-11.674544334411621,130.6730194091797,0.0017680739983916283,-28.99962043762207,131.00686645507812,0.001385383540764451,0.911,1.0,63,64,None,0.994,pick_floor,0.927,neutral,0.758,fear,0.936,2026-02-16T11:03:28.966358,2026-02-16T11:03:34.143679,420227,420304,8108.963782381266,8111.65878239274,window_2
participant_03,2,day,Town10HD,-13.646346092224121,69.5698471069336,0.0017729568062350154,20.332365036010742,71.55554962158203,0.0017154692905023694,1.0,1.0,65,59,None,0.954,pick_floor,0.987,sad,0.85,neutral,0.964,2026-02-16T11:03:55.726541,2026-02-16T11:04:01.362482,420605,420686,8122.193782437593,8125.028782449663,window_1
participant_03,2,day,Town10HD,42.49367141723633,64.21891784667969,0.001847343402914703,45.06401443481445,49.51469039916992,0.0018934248946607113,1.0,0.938,57,57,None,0.984,None,0.909,fear,0.449,fear,0.923,2026-02-16T11:04:06.653603,2026-02-16T11:04:10.377056,420763,420820,8127.723782461137,8129.71878246963,window_2
